Solyc12g098620.1.1	SL3.0ch12	100.000	554	0	0	1	554	67046663	67047216	0.0	1024
Solyc12g098620.1.1	SL3.0ch12	100.000	185	0	0	913	1097	67048455	67048639	6.52e-92	342
Solyc12g098620.1.1	SL3.0ch12	100.000	155	0	0	553	707	67047575	67047729	3.10e-75	287
Solyc12g098620.1.1	SL3.0ch12	100.000	85	0	0	1094	1178	67048858	67048942	2.53e-36	158
Solyc12g098620.1.1	SL3.0ch12	100.000	74	0	0	839	912	67048215	67048288	3.30e-30	137
Solyc12g098620.1.1	SL3.0ch12	100.000	69	0	0	705	773	67047851	67047919	1.99e-27	128
Solyc12g098620.1.1	SL3.0ch12	100.000	69	0	0	772	840	67048031	67048099	1.99e-27	128
Solyc12g098620.1.1	SL3.0ch12	100.000	39	0	0	1177	1215	67049229	67049267	9.44e-11	73.1
Solyc12g098620.1.1	SL3.0ch09	94.203	69	4	0	772	840	72363319	72363251	9.31e-21	106
Solyc12g098620.1.1	SL3.0ch09	84.112	107	17	0	601	707	72363700	72363594	3.35e-20	104
Solyc12g098620.1.1	SL3.0ch04	87.879	66	8	0	775	840	62484390	62484325	2.03e-12	78.7
